Date,Region,Product,Sales,Revenue,Profit,Quantity
2025-02-25,APAC,AI Analytics Pro,41,131200,59040,41
2025-02-26,LATAM,Data Mesh Core,43,77400,34830,43
2025-02-27,North America,Cloud Engine Enterprise,5,28125,12656,5
2025-02-28,EMEA,Cyber Shield Suite,25,45000,15750,25
2025-03-02,APAC,AI Analytics Pro,22,70400,31680,22
2025-03-03,LATAM,Data Mesh Core,30,54000,24300,30
2025-03-04,North America,Cloud Engine Enterprise,15,67500,30375,15
2025-03-05,EMEA,Cyber Shield Suite,43,77400,27090,43
2025-03-06,APAC,AI Analytics Pro,27,86400,38880,27
2025-03-08,LATAM,Data Mesh Core,33,59400,26730,33
2025-03-09,North America,Cloud Engine Enterprise,15,67500,30375,15
2025-03-10,EMEA,Cyber Shield Suite,35,63000,22050,35
2025-03-11,APAC,AI Analytics Pro,36,115200,51840,36
2025-03-12,LATAM,Data Mesh Core,9,16200,7290,9
2025-03-14,North America,Cloud Engine Enterprise,21,118125,53156,21
2025-03-15,EMEA,Cyber Shield Suite,40,72000,25200,40
2025-03-16,APAC,AI Analytics Pro,50,160000,72000,50
2025-03-17,LATAM,Data Mesh Core,43,77400,34830,43
2025-03-18,North America,Cloud Engine Enterprise,14,63000,28350,14
2025-03-20,EMEA,Cyber Shield Suite,14,25200,8820,14
2025-03-21,APAC,AI Analytics Pro,32,102400,46080,32
2025-03-22,LATAM,Data Mesh Core,47,84600,38070,47
2025-03-23,North America,Cloud Engine Enterprise,27,121500,54675,27
2025-03-24,EMEA,Cyber Shield Suite,45,81000,28350,45
2025-03-26,APAC,AI Analytics Pro,11,35200,15840,11
2025-03-27,LATAM,Data Mesh Core,11,19800,8910,11
2025-03-28,North America,Cloud Engine Enterprise,50,281250,126563,50
2025-03-29,EMEA,Cyber Shield Suite,37,66600,23310,37
2025-03-30,APAC,AI Analytics Pro,37,118400,53280,37
2025-04-01,LATAM,Data Mesh Core,43,77400,34830,43
2025-04-02,North America,Cloud Engine Enterprise,22,99000,44550,22
2025-04-03,EMEA,Cyber Shield Suite,30,54000,18900,30
2025-04-04,APAC,AI Analytics Pro,47,150400,67680,47
2025-04-05,LATAM,Data Mesh Core,47,84600,38070,47
2025-04-07,North America,Cloud Engine Enterprise,41,184500,83025,41
2025-04-08,EMEA,Cyber Shield Suite,18,32400,11340,18
2025-04-09,APAC,AI Analytics Pro,32,102400,46080,32
2025-04-10,LATAM,Data Mesh Core,30,54000,24300,30
2025-04-11,North America,Cloud Engine Enterprise,42,236250,106313,42
2025-04-13,EMEA,Cyber Shield Suite,38,68400,23940,38
2025-04-14,APAC,AI Analytics Pro,13,41600,18720,13
2025-04-15,LATAM,Data Mesh Core,8,14400,6480,8
2025-04-16,North America,Cloud Engine Enterprise,47,211500,95175,47
2025-04-17,EMEA,Cyber Shield Suite,17,30600,10710,17
2025-04-19,APAC,AI Analytics Pro,41,131200,59040,41
2025-04-20,LATAM,Data Mesh Core,39,70200,31590,39
2025-04-21,North America,Cloud Engine Enterprise,7,31500,14175,7
2025-04-22,EMEA,Cyber Shield Suite,20,36000,12600,20
2025-04-23,APAC,AI Analytics Pro,29,92800,41760,29
2025-04-25,LATAM,Data Mesh Core,16,28800,12960,16
2025-04-26,North America,Cloud Engine Enterprise,26,146250,65813,26
2025-04-27,EMEA,Cyber Shield Suite,35,63000,22050,35
2025-04-28,APAC,AI Analytics Pro,13,41600,18720,13
2025-04-29,LATAM,Data Mesh Core,50,90000,40500,50
2025-05-01,North America,Cloud Engine Enterprise,26,117000,52650,26
2025-05-02,EMEA,Cyber Shield Suite,11,19800,6930,11
2025-05-03,APAC,AI Analytics Pro,37,118400,53280,37
2025-05-04,LATAM,Data Mesh Core,12,21600,9720,12
2025-05-05,North America,Cloud Engine Enterprise,23,103500,46575,23
2025-05-07,EMEA,Cyber Shield Suite,34,61200,21420,34
2025-05-08,APAC,AI Analytics Pro,28,89600,40320,28
2025-05-09,LATAM,Data Mesh Core,10,18000,8100,10
2025-05-10,North America,Cloud Engine Enterprise,6,33750,15188,6
2025-05-11,EMEA,Cyber Shield Suite,20,36000,12600,20
2025-05-13,APAC,AI Analytics Pro,36,115200,51840,36
2025-05-14,LATAM,Data Mesh Core,42,75600,34020,42
2025-05-15,North America,Cloud Engine Enterprise,30,135000,60750,30
2025-05-16,EMEA,Cyber Shield Suite,36,64800,22680,36
2025-05-17,APAC,AI Analytics Pro,17,54400,24480,17
2025-05-19,LATAM,Data Mesh Core,37,66600,29970,37
2025-05-20,North America,Cloud Engine Enterprise,7,31500,14175,7
2025-05-21,EMEA,Cyber Shield Suite,40,72000,25200,40
2025-05-22,APAC,AI Analytics Pro,22,70400,31680,22
2025-05-23,LATAM,Data Mesh Core,35,63000,28350,35
2025-05-25,North America,Cloud Engine Enterprise,44,247500,111375,44
2025-05-26,EMEA,Cyber Shield Suite,33,59400,20790,33
2025-05-27,APAC,AI Analytics Pro,8,25600,11520,8
2025-05-28,LATAM,Data Mesh Core,47,84600,38070,47
2025-05-29,North America,Cloud Engine Enterprise,38,171000,76950,38
2025-05-31,EMEA,Cyber Shield Suite,48,86400,30240,48
2025-06-01,APAC,AI Analytics Pro,40,128000,57600,40
2025-06-02,LATAM,Data Mesh Core,32,57600,25920,32
2025-06-03,North America,Cloud Engine Enterprise,32,144000,64800,32
2025-06-04,EMEA,Cyber Shield Suite,33,59400,20790,33
2025-06-06,APAC,AI Analytics Pro,23,73600,33120,23
2025-06-07,LATAM,Data Mesh Core,34,61200,27540,34
2025-06-08,North America,Cloud Engine Enterprise,47,264375,118969,47
2025-06-09,EMEA,Cyber Shield Suite,29,52200,18270,29
2025-06-10,APAC,AI Analytics Pro,10,32000,14400,10
2025-06-12,LATAM,Data Mesh Core,42,75600,34020,42
2025-06-13,North America,Cloud Engine Enterprise,37,166500,74925,37
2025-06-14,EMEA,Cyber Shield Suite,13,23400,8190,13
2025-06-15,APAC,AI Analytics Pro,35,112000,50400,35
2025-06-16,LATAM,Data Mesh Core,13,23400,10530,13
2025-06-18,North America,Cloud Engine Enterprise,20,90000,40500,20
2025-06-19,EMEA,Cyber Shield Suite,40,72000,25200,40
2025-06-20,APAC,AI Analytics Pro,50,160000,72000,50
2025-06-21,LATAM,Data Mesh Core,16,28800,12960,16
2025-06-22,North America,Cloud Engine Enterprise,39,219375,98719,39
2025-06-24,EMEA,Cyber Shield Suite,11,19800,6930,11
2025-06-25,APAC,AI Analytics Pro,25,80000,36000,25
2025-06-26,LATAM,Data Mesh Core,44,79200,35640,44
2025-06-27,North America,Cloud Engine Enterprise,45,202500,91125,45
2025-06-28,EMEA,Cyber Shield Suite,6,10800,3780,6
2025-06-30,APAC,AI Analytics Pro,7,22400,10080,7
2025-07-01,LATAM,Data Mesh Core,39,70200,31590,39
2025-07-02,North America,Cloud Engine Enterprise,22,99000,44550,22
2025-07-03,EMEA,Cyber Shield Suite,33,59400,20790,33
2025-07-04,APAC,AI Analytics Pro,6,19200,8640,6
2025-07-06,LATAM,Data Mesh Core,47,84600,38070,47
2025-07-07,North America,Cloud Engine Enterprise,28,157500,70875,28
2025-07-08,EMEA,Cyber Shield Suite,31,55800,19530,31
2025-07-09,APAC,AI Analytics Pro,24,76800,34560,24
2025-07-10,LATAM,Data Mesh Core,15,27000,12150,15
2025-07-12,North America,Cloud Engine Enterprise,41,184500,83025,41
2025-07-13,EMEA,Cyber Shield Suite,48,86400,30240,48
2025-07-14,APAC,AI Analytics Pro,23,73600,33120,23
2025-07-15,LATAM,Data Mesh Core,17,30600,13770,17
2025-07-16,North America,Cloud Engine Enterprise,47,211500,95175,47
2025-07-18,EMEA,Cyber Shield Suite,46,82800,28980,46
2025-07-19,APAC,AI Analytics Pro,20,64000,28800,20
2025-07-20,LATAM,Data Mesh Core,11,19800,8910,11
2025-07-21,North America,Cloud Engine Enterprise,14,78750,35438,14
2025-07-22,EMEA,Cyber Shield Suite,43,77400,27090,43
2025-07-24,APAC,AI Analytics Pro,12,38400,17280,12
2025-07-25,LATAM,Data Mesh Core,49,88200,39690,49
2025-07-26,North America,Cloud Engine Enterprise,43,193500,87075,43
2025-07-27,EMEA,Cyber Shield Suite,21,37800,13230,21
2025-07-28,APAC,AI Analytics Pro,46,147200,66240,46
2025-07-30,LATAM,Data Mesh Core,39,70200,31590,39
2025-07-31,North America,Cloud Engine Enterprise,31,139500,62775,31
2025-08-01,EMEA,Cyber Shield Suite,18,32400,11340,18
2025-08-02,APAC,AI Analytics Pro,25,80000,36000,25
2025-08-03,LATAM,Data Mesh Core,39,70200,31590,39
2025-08-05,North America,Cloud Engine Enterprise,47,264375,118969,47
2025-08-06,EMEA,Cyber Shield Suite,38,68400,23940,38
2025-08-07,APAC,AI Analytics Pro,25,80000,36000,25
2025-08-08,LATAM,Data Mesh Core,10,18000,8100,10
2025-08-09,North America,Cloud Engine Enterprise,42,189000,85050,42
2025-08-11,EMEA,Cyber Shield Suite,7,12600,4410,7
2025-08-12,APAC,AI Analytics Pro,18,57600,25920,18
2025-08-13,LATAM,Data Mesh Core,9,16200,7290,9
2025-08-14,North America,Cloud Engine Enterprise,17,76500,34425,17
2025-08-15,EMEA,Cyber Shield Suite,33,59400,20790,33
2025-08-17,APAC,AI Analytics Pro,12,38400,17280,12
2025-08-18,LATAM,Data Mesh Core,6,10800,4860,6
2025-08-19,North America,Cloud Engine Enterprise,39,219375,98719,39
2025-08-20,EMEA,Cyber Shield Suite,14,25200,8820,14
2025-08-21,APAC,AI Analytics Pro,38,121600,54720,38
2025-08-23,LATAM,Data Mesh Core,8,14400,6480,8
2025-08-24,North America,Cloud Engine Enterprise,26,117000,52650,26
2025-08-25,EMEA,Cyber Shield Suite,36,64800,22680,36
2025-08-26,APAC,AI Analytics Pro,32,102400,46080,32
2025-08-27,LATAM,Data Mesh Core,42,75600,34020,42
2025-08-29,North America,Cloud Engine Enterprise,45,202500,91125,45
2025-08-30,EMEA,Cyber Shield Suite,10,18000,6300,10
2025-08-31,APAC,AI Analytics Pro,38,121600,54720,38
2025-09-01,LATAM,Data Mesh Core,16,28800,12960,16
2025-09-02,North America,Cloud Engine Enterprise,40,225000,101250,40
2025-09-04,EMEA,Cyber Shield Suite,13,23400,8190,13
2025-09-05,APAC,AI Analytics Pro,42,134400,60480,42
2025-09-06,LATAM,Data Mesh Core,26,46800,21060,26
2025-09-07,North America,Cloud Engine Enterprise,20,90000,40500,20
2025-09-08,EMEA,Cyber Shield Suite,39,70200,24570,39
2025-09-10,APAC,AI Analytics Pro,9,28800,12960,9
2025-09-11,LATAM,Data Mesh Core,25,45000,20250,25
2025-09-12,North America,Cloud Engine Enterprise,42,189000,85050,42
2025-09-13,EMEA,Cyber Shield Suite,10,18000,6300,10
2025-09-14,APAC,AI Analytics Pro,43,137600,61920,43
2025-09-16,LATAM,Data Mesh Core,47,84600,38070,47
2025-09-17,North America,Cloud Engine Enterprise,34,191250,86063,34
2025-09-18,EMEA,Cyber Shield Suite,50,90000,31500,50
2025-09-19,APAC,AI Analytics Pro,35,112000,50400,35
2025-09-20,LATAM,Data Mesh Core,30,54000,24300,30
2025-09-22,North America,Cloud Engine Enterprise,29,130500,58725,29
2025-09-23,EMEA,Cyber Shield Suite,10,18000,6300,10
2025-09-24,APAC,AI Analytics Pro,28,89600,40320,28
2025-09-25,LATAM,Data Mesh Core,20,36000,16200,20
2025-09-26,North America,Cloud Engine Enterprise,26,117000,52650,26
2025-09-28,EMEA,Cyber Shield Suite,39,70200,24570,39
2025-09-29,APAC,AI Analytics Pro,46,147200,66240,46
2025-09-30,LATAM,Data Mesh Core,28,50400,22680,28
2025-10-01,North America,Cloud Engine Enterprise,24,135000,60750,24
2025-10-02,EMEA,Cyber Shield Suite,26,46800,16380,26
2025-10-04,APAC,AI Analytics Pro,42,134400,60480,42
2025-10-05,LATAM,Data Mesh Core,19,34200,15390,19
2025-10-06,North America,Cloud Engine Enterprise,16,72000,32400,16
2025-10-07,EMEA,Cyber Shield Suite,41,73800,25830,41
2025-10-08,APAC,AI Analytics Pro,10,32000,14400,10
2025-10-10,LATAM,Data Mesh Core,30,54000,24300,30
2025-10-11,North America,Cloud Engine Enterprise,33,148500,66825,33
2025-10-12,EMEA,Cyber Shield Suite,47,84600,29610,47
2025-10-13,APAC,AI Analytics Pro,41,131200,59040,41
2025-10-14,LATAM,Data Mesh Core,32,57600,25920,32
2025-10-16,North America,Cloud Engine Enterprise,43,241875,108844,43
2025-10-17,EMEA,Cyber Shield Suite,14,25200,8820,14
2025-10-18,APAC,AI Analytics Pro,43,137600,61920,43
2025-10-19,LATAM,Data Mesh Core,14,25200,11340,14
2025-10-20,North America,Cloud Engine Enterprise,10,45000,20250,10
2025-10-22,EMEA,Cyber Shield Suite,8,14400,5040,8
2025-10-23,APAC,AI Analytics Pro,42,134400,60480,42
2025-10-24,LATAM,Data Mesh Core,20,36000,16200,20
2025-10-25,North America,Cloud Engine Enterprise,45,202500,91125,45
2025-10-26,EMEA,Cyber Shield Suite,48,86400,30240,48
2025-10-28,APAC,AI Analytics Pro,25,80000,36000,25
2025-10-29,LATAM,Data Mesh Core,43,77400,34830,43
2025-10-30,North America,Cloud Engine Enterprise,20,112500,50625,20
2025-10-31,EMEA,Cyber Shield Suite,8,14400,5040,8
2025-11-01,APAC,AI Analytics Pro,20,64000,28800,20
2025-11-03,LATAM,Data Mesh Core,48,86400,38880,48
2025-11-04,North America,Cloud Engine Enterprise,14,63000,28350,14
2025-11-05,EMEA,Cyber Shield Suite,13,23400,8190,13
2025-11-06,APAC,AI Analytics Pro,29,92800,41760,29
2025-11-07,LATAM,Data Mesh Core,11,19800,8910,11
2025-11-09,North America,Cloud Engine Enterprise,40,180000,81000,40
2025-11-10,EMEA,Cyber Shield Suite,43,77400,27090,43
2025-11-11,APAC,AI Analytics Pro,30,96000,43200,30
2025-11-12,LATAM,Data Mesh Core,7,12600,5670,7
2025-11-13,North America,Cloud Engine Enterprise,48,270000,121500,48
2025-11-15,EMEA,Cyber Shield Suite,8,14400,5040,8
2025-11-16,APAC,AI Analytics Pro,28,89600,40320,28
2025-11-17,LATAM,Data Mesh Core,20,36000,16200,20
2025-11-18,North America,Cloud Engine Enterprise,35,157500,70875,35
2025-11-19,EMEA,Cyber Shield Suite,47,84600,29610,47
2025-11-21,APAC,AI Analytics Pro,7,22400,10080,7
2025-11-22,LATAM,Data Mesh Core,43,77400,34830,43
2025-11-23,North America,Cloud Engine Enterprise,36,162000,72900,36
2025-11-24,EMEA,Cyber Shield Suite,18,32400,11340,18
2025-11-25,APAC,AI Analytics Pro,35,112000,50400,35
2025-11-27,LATAM,Data Mesh Core,27,48600,21870,27
2025-11-28,North America,Cloud Engine Enterprise,26,146250,65813,26
2025-11-29,EMEA,Cyber Shield Suite,18,32400,11340,18
2025-11-30,APAC,AI Analytics Pro,7,22400,10080,7
2025-12-01,LATAM,Data Mesh Core,47,84600,38070,47
2025-12-03,North America,Cloud Engine Enterprise,45,202500,91125,45
2025-12-04,EMEA,Cyber Shield Suite,8,14400,5040,8
2025-12-05,APAC,AI Analytics Pro,49,156800,70560,49
2025-12-06,LATAM,Data Mesh Core,48,86400,38880,48
2025-12-07,North America,Cloud Engine Enterprise,44,198000,89100,44
2025-12-09,EMEA,Cyber Shield Suite,27,48600,17010,27
2025-12-10,APAC,AI Analytics Pro,15,48000,21600,15
2025-12-11,LATAM,Data Mesh Core,47,84600,38070,47
2025-12-12,North America,Cloud Engine Enterprise,30,168750,75938,30
2025-12-13,EMEA,Cyber Shield Suite,21,37800,13230,21
2025-12-15,APAC,AI Analytics Pro,35,112000,50400,35
2025-12-16,LATAM,Data Mesh Core,44,79200,35640,44
2025-12-17,North America,Cloud Engine Enterprise,24,108000,48600,24
2025-12-18,EMEA,Cyber Shield Suite,47,84600,29610,47
2025-12-19,APAC,AI Analytics Pro,28,89600,40320,28
2025-12-21,LATAM,Data Mesh Core,28,50400,22680,28
2025-12-22,North America,Cloud Engine Enterprise,18,81000,36450,18
2025-12-23,EMEA,Cyber Shield Suite,44,79200,27720,44
2025-12-24,APAC,AI Analytics Pro,34,108800,48960,34
2025-12-25,LATAM,Data Mesh Core,17,30600,13770,17
