Shipment_ID,Route,Delivery_Time,Fuel_Cost,Delayed,Distance
SHP-2184,Corridor Alpha (US-MX),56.5,8093,0,3089
SHP-2185,Corridor Beta (EU-UK),26.5,3231,0,1201
SHP-2186,Pacific Route (US-JP),62.6,7097,1,3677
SHP-2187,Trans-Asia Air,50.7,5481,0,2514
SHP-2188,Corridor Alpha (US-MX),39.8,4457,0,1415
SHP-2189,Corridor Beta (EU-UK),53,5320,1,2145
SHP-2190,Pacific Route (US-JP),56.7,8467,0,3428
SHP-2191,Trans-Asia Air,36.6,3026,0,1077
SHP-2192,Corridor Alpha (US-MX),58.7,10889,0,3490
SHP-2193,Corridor Beta (EU-UK),87.3,12170,1,4182
SHP-2194,Pacific Route (US-JP),19.8,1557,0,638
SHP-2195,Trans-Asia Air,80.6,8206,1,3747
SHP-2196,Corridor Alpha (US-MX),70.2,10888,1,3716
SHP-2197,Corridor Beta (EU-UK),80.6,13772,1,4457
SHP-2198,Pacific Route (US-JP),60.1,4607,1,2412
SHP-2199,Trans-Asia Air,76.2,10966,1,3526
SHP-2200,Corridor Alpha (US-MX),44.3,4878,0,2489
SHP-2201,Corridor Beta (EU-UK),45.5,4604,0,1656
SHP-2202,Pacific Route (US-JP),53.2,8398,0,2876
SHP-2203,Trans-Asia Air,54.5,6340,1,2045
SHP-2204,Corridor Alpha (US-MX),70.3,8313,1,3012
SHP-2205,Corridor Beta (EU-UK),70,8200,1,4227
SHP-2206,Pacific Route (US-JP),83.4,8793,1,4187
SHP-2207,Trans-Asia Air,48,5722,0,2601
SHP-2208,Corridor Alpha (US-MX),34.4,3978,0,1979
SHP-2209,Corridor Beta (EU-UK),75.7,10483,1,4659
SHP-2210,Pacific Route (US-JP),26.9,1593,1,708
SHP-2211,Trans-Asia Air,67.9,9426,1,3440
SHP-2212,Corridor Alpha (US-MX),85.2,13057,1,4106
SHP-2213,Corridor Beta (EU-UK),48.1,6034,0,2929
SHP-2214,Pacific Route (US-JP),22.6,1586,0,622
SHP-2215,Trans-Asia Air,72.6,11243,1,3877
SHP-2216,Corridor Alpha (US-MX),35.2,1497,0,792
SHP-2217,Corridor Beta (EU-UK),72.4,8736,1,3989
SHP-2218,Pacific Route (US-JP),87.4,9476,1,4578
SHP-2219,Trans-Asia Air,31.2,4395,0,1441
SHP-2220,Corridor Alpha (US-MX),15.2,1445,0,597
SHP-2221,Corridor Beta (EU-UK),40.3,3678,0,2032
SHP-2222,Pacific Route (US-JP),62.4,7166,1,3143
SHP-2223,Trans-Asia Air,17.7,1862,0,955
SHP-2224,Corridor Alpha (US-MX),42,5848,1,2081
SHP-2225,Corridor Beta (EU-UK),36.5,4434,0,1529
SHP-2226,Pacific Route (US-JP),37,3262,0,1365
SHP-2227,Trans-Asia Air,38.9,5739,0,2333
SHP-2228,Corridor Alpha (US-MX),20.7,2750,0,1217
SHP-2229,Corridor Beta (EU-UK),87.4,10188,1,4508
SHP-2230,Pacific Route (US-JP),20.7,823,0,433
SHP-2231,Trans-Asia Air,33.6,1781,1,627
SHP-2232,Corridor Alpha (US-MX),43.5,3667,0,1852
SHP-2233,Corridor Beta (EU-UK),81.3,10928,1,3917
SHP-2234,Pacific Route (US-JP),72.3,13056,1,4502
SHP-2235,Trans-Asia Air,38.7,4718,0,1865
SHP-2236,Corridor Alpha (US-MX),32.2,1833,0,597
SHP-2237,Corridor Beta (EU-UK),46.3,4134,0,1578
SHP-2238,Pacific Route (US-JP),49.5,3934,1,1919
SHP-2239,Trans-Asia Air,41.7,3233,0,1738
SHP-2240,Corridor Alpha (US-MX),29,2336,0,1298
SHP-2241,Corridor Beta (EU-UK),84.8,8543,1,4147
SHP-2242,Pacific Route (US-JP),70.5,9429,1,4325
SHP-2243,Trans-Asia Air,71.7,9682,1,4401
SHP-2244,Corridor Alpha (US-MX),53.5,5351,0,2175
SHP-2245,Corridor Beta (EU-UK),63.5,8760,1,3605
SHP-2246,Pacific Route (US-JP),72.4,8603,1,3210
SHP-2247,Trans-Asia Air,28.5,1414,0,748
SHP-2248,Corridor Alpha (US-MX),48.4,4868,0,1979
SHP-2249,Corridor Beta (EU-UK),41.4,4963,0,2433
SHP-2250,Pacific Route (US-JP),43.2,3904,0,1574
SHP-2251,Trans-Asia Air,52.5,6656,0,2438
SHP-2252,Corridor Alpha (US-MX),66.2,9759,1,3588
SHP-2253,Corridor Beta (EU-UK),42.8,5650,0,1805
SHP-2254,Pacific Route (US-JP),67.3,9373,1,3073
SHP-2255,Trans-Asia Air,26.6,2244,0,951
SHP-2256,Corridor Alpha (US-MX),37.3,3884,0,1517
SHP-2257,Corridor Beta (EU-UK),51.9,6649,0,2138
SHP-2258,Pacific Route (US-JP),60.6,8809,1,2966
SHP-2259,Trans-Asia Air,82.6,12432,1,4456
SHP-2260,Corridor Alpha (US-MX),70.4,8646,1,3214
SHP-2261,Corridor Beta (EU-UK),51.3,6023,0,2489
SHP-2262,Pacific Route (US-JP),39.3,5477,0,2036
SHP-2263,Trans-Asia Air,70.9,8252,1,3114
SHP-2264,Corridor Alpha (US-MX),84.3,13586,1,4701
SHP-2265,Corridor Beta (EU-UK),49.7,7022,0,2258
SHP-2266,Pacific Route (US-JP),78.6,9165,1,3741
SHP-2267,Trans-Asia Air,60.3,4849,1,2552
SHP-2268,Corridor Alpha (US-MX),52.4,6032,0,2109
SHP-2269,Corridor Beta (EU-UK),74.9,8387,1,3569
SHP-2270,Pacific Route (US-JP),44.2,5355,0,2222
SHP-2271,Trans-Asia Air,80.3,9321,1,4503
SHP-2272,Corridor Alpha (US-MX),63.2,11861,1,3851
SHP-2273,Corridor Beta (EU-UK),33.5,2581,1,1137
SHP-2274,Pacific Route (US-JP),25.6,3919,0,1342
SHP-2275,Trans-Asia Air,84.9,10453,1,4284
SHP-2276,Corridor Alpha (US-MX),80.3,9246,1,3918
SHP-2277,Corridor Beta (EU-UK),9.4,903,0,416
SHP-2278,Pacific Route (US-JP),60.1,6387,1,2864
SHP-2279,Trans-Asia Air,85.3,12057,1,4567
SHP-2280,Corridor Alpha (US-MX),80,14014,1,4550
SHP-2281,Corridor Beta (EU-UK),84.5,10728,1,4126
SHP-2282,Pacific Route (US-JP),65.6,5761,1,3032
SHP-2283,Trans-Asia Air,80.3,7560,1,3857
SHP-2284,Corridor Alpha (US-MX),76,8267,1,3642
SHP-2285,Corridor Beta (EU-UK),11.7,1396,0,565
SHP-2286,Pacific Route (US-JP),66,10955,1,3445
SHP-2287,Trans-Asia Air,65,9131,1,3638
SHP-2288,Corridor Alpha (US-MX),25.1,3119,0,1177
SHP-2289,Corridor Beta (EU-UK),41.5,3263,0,1204
SHP-2290,Pacific Route (US-JP),59.6,8687,0,3159
SHP-2291,Trans-Asia Air,58.8,8422,0,3630
SHP-2292,Corridor Alpha (US-MX),63.5,7158,1,3345
SHP-2293,Corridor Beta (EU-UK),73.5,12140,1,4581
SHP-2294,Pacific Route (US-JP),82.9,10510,1,4671
SHP-2295,Trans-Asia Air,78.8,7304,1,3689
SHP-2296,Corridor Alpha (US-MX),81.7,11750,1,3943
SHP-2297,Corridor Beta (EU-UK),50.1,6416,0,2153
SHP-2298,Pacific Route (US-JP),79.3,8012,1,3852
SHP-2299,Trans-Asia Air,39.6,4680,0,2317
SHP-2300,Corridor Alpha (US-MX),28,2642,0,908
