Plant,Energy_Output,Downtime,Efficiency,Maintenance_Cost,Carbon_Emission
Solar Array Alpha,5297,12,88.1,48796,13
Wind Farm Horizon,1200,3,85.4,32869,7
Hydro Dam Apex,5281,2,81.9,29805,8
Thermal Station Core,5043,26,91.4,71533,1096
Solar Array Alpha,852,24,80.9,85618,5
Wind Farm Horizon,6481,35,83.1,113453,5
Hydro Dam Apex,1877,34,95.9,97115,11
Thermal Station Core,4421,10,85.9,41724,852
Solar Array Alpha,5550,15,80.5,50385,3
Wind Farm Horizon,5591,23,82.1,66937,2
Hydro Dam Apex,2250,4,79.5,21989,1
Thermal Station Core,3780,12,89.4,49087,475
Solar Array Alpha,5599,15,83.1,63775,3
Wind Farm Horizon,3040,31,91.8,93215,15
Hydro Dam Apex,6239,4,95.8,21271,11
Thermal Station Core,6106,33,82.4,102445,777
Solar Array Alpha,6096,9,82.4,50098,7
Wind Farm Horizon,6443,13,81.9,56980,12
Hydro Dam Apex,6196,9,86.4,31030,1
Thermal Station Core,1879,28,84.3,86109,1154
Solar Array Alpha,5123,2,88.9,32073,9
Wind Farm Horizon,4290,5,92.5,35683,8
Hydro Dam Apex,5721,12,93.3,42245,15
Thermal Station Core,4168,11,85.6,54745,497
Solar Array Alpha,3664,10,91.6,50486,14
Wind Farm Horizon,5100,6,94.4,25683,1
Hydro Dam Apex,4508,8,90.8,28112,6
Thermal Station Core,5443,22,84.8,81487,989
Solar Array Alpha,1874,17,92.7,54366,13
Wind Farm Horizon,2362,7,88.5,43964,5
Hydro Dam Apex,3789,3,89.8,16610,8
Thermal Station Core,5779,14,82.4,43654,874
Solar Array Alpha,3629,17,91.2,59536,9
Wind Farm Horizon,4193,5,86.5,25595,11
Hydro Dam Apex,6216,3,85.3,17117,14
Thermal Station Core,4842,28,83,78877,1174
Solar Array Alpha,5076,32,85.2,92615,10
Wind Farm Horizon,6438,17,83.9,57143,12
Hydro Dam Apex,5335,33,82.1,108277,7
Thermal Station Core,2727,19,92.3,58521,1082
Solar Array Alpha,1654,8,90.5,27952,8
Wind Farm Horizon,3805,27,95.6,82984,3
Hydro Dam Apex,5615,8,83.4,38185,1
Thermal Station Core,2986,11,82.6,51595,730
Solar Array Alpha,5110,1,94.8,11466,9
Wind Farm Horizon,5597,3,80.2,18056,7
Hydro Dam Apex,5177,7,87.8,44854,8
Thermal Station Core,4551,32,91.5,85735,1068
Solar Array Alpha,6061,3,86.9,22239,7
Wind Farm Horizon,6112,15,93.7,52763,14
Hydro Dam Apex,5805,28,90.2,82680,8
Thermal Station Core,3710,28,82.1,79458,1014
Solar Array Alpha,5911,31,92.5,103187,3
Wind Farm Horizon,5138,9,86.7,43975,14
Hydro Dam Apex,1333,15,83.7,57487,1
Thermal Station Core,3754,3,94.4,26053,865
Solar Array Alpha,4329,13,87.5,48437,10
Wind Farm Horizon,6061,9,81.6,44616,13
Hydro Dam Apex,4345,17,80.8,66446,0
Thermal Station Core,5188,25,83.6,86397,1083
Solar Array Alpha,2848,4,91,19659,13
Wind Farm Horizon,2839,33,88.1,106904,12
